datetime,Demanda pronosticada en [kW],Pronostico Clima
2022-05-19 11:00:00,63498.18112627525,10.31
2022-05-19 11:15:00,63487.5272162764,11.17
2022-05-19 11:30:00,63448.05939844995,12.03
2022-05-19 11:45:00,63395.459639779096,12.89
2022-05-19 12:00:00,63345.0159284211,13.75
2022-05-19 12:15:00,62917.57227507276,14.035
2022-05-19 12:30:00,62520.03829863046,14.32
2022-05-19 12:45:00,62164.506840797614,14.605
2022-05-19 13:00:00,61861.430158205265,14.89
2022-05-19 13:15:00,61574.83496427086,15.11
2022-05-19 13:30:00,61355.81150882136,15.33
2022-05-19 13:45:00,61208.76138254861,15.55
2022-05-19 14:00:00,61135.86746755222,15.77
2022-05-19 14:15:00,61044.40911773202,15.855
2022-05-19 14:30:00,61024.7790244363,15.94
2022-05-19 14:45:00,61072.675696000064,16.025
2022-05-19 15:00:00,61181.870396637765,16.11
2022-05-19 15:15:00,61296.28554379322,16.125
2022-05-19 15:30:00,61454.55067350917,16.14
2022-05-19 15:45:00,61645.97940345972,16.155
2022-05-19 16:00:00,61858.94619328711,16.17
2022-05-19 16:15:00,61971.06599428222,16.025000000000002
2022-05-19 16:30:00,62079.816976885,15.88
2022-05-19 16:45:00,62172.616842080475,15.735
2022-05-19 17:00:00,62237.18189164244,15.59
2022-05-19 17:15:00,61917.21837295747,14.945
2022-05-19 17:30:00,61546.251262132195,14.3
2022-05-19 17:45:00,61114.52062210449,13.655
2022-05-19 18:00:00,60613.55513663132,13.01
2022-05-19 18:15:00,60119.148155304305,12.485
2022-05-19 18:30:00,59543.104027028305,11.96
2022-05-19 18:45:00,58881.648620230895,11.435
2022-05-19 19:00:00,58132.717289502674,10.91
2022-05-19 19:15:00,57548.17320870183,10.75
2022-05-19 19:30:00,56877.30523711543,10.59
2022-05-19 19:45:00,56123.07250420806,10.43
2022-05-19 20:00:00,55289.964183933575,10.27
2022-05-19 20:15:00,54392.531245530496,10.1225
2022-05-19 20:30:00,53429.309588448035,9.975
2022-05-19 20:45:00,52408.60353477397,9.8275
2022-05-19 21:00:00,51339.68194123213,9.68
2022-05-19 21:15:00,50258.592056836394,9.57
2022-05-19 21:30:00,49150.07094925252,9.46
2022-05-19 21:45:00,48025.2874958163,9.35
2022-05-19 22:00:00,46895.72259986716,9.24
2022-05-19 22:15:00,45753.94441565978,9.1025
2022-05-19 22:30:00,44630.68755805442,8.965
2022-05-19 22:45:00,43537.52172017686,8.8275
2022-05-19 23:00:00,42485.800625406395,8.69
2022-05-19 23:15:00,41502.186128933914,8.575
2022-05-19 23:30:00,40581.67929409065,8.46
2022-05-19 23:45:00,39734.39933015836,8.345
2022-05-20 00:00:00,38969.886555632445,8.23
2022-05-20 00:15:00,38303.983336694786,8.125
2022-05-20 00:30:00,37737.90297047784,8.02
2022-05-20 00:45:00,37279.015814768405,7.915
2022-05-20 01:00:00,36933.82926421266,7.81
2022-05-20 01:15:00,36720.103918640765,7.7225
2022-05-20 01:30:00,36630.22889126396,7.635
2022-05-20 01:45:00,36667.69309868019,7.5474999999999985
2022-05-20 02:00:00,36834.832384105815,7.46
2022-05-20 02:15:00,37136.242962459946,7.377499999999999
2022-05-20 02:30:00,37568.254314225254,7.295
2022-05-20 02:45:00,38129.31960074665,7.2125
2022-05-20 03:00:00,38816.47569601611,7.13
2022-05-20 03:15:00,39646.24512403089,7.0775
2022-05-20 03:30:00,40591.78445657234,7.025
2022-05-20 03:45:00,41645.68542401568,6.9725
2022-05-20 04:00:00,42799.05648652892,6.92
2022-05-20 04:15:00,44034.57142574699,6.8575
2022-05-20 04:30:00,45347.50526654354,6.795
