datetime,Demanda pronosticada en [kW],Pronostico Clima
2022-08-02 08:00:00,12127.815987791222,12.56
2022-08-02 08:15:00,12395.8504536781,12.725
2022-08-02 08:30:00,12639.388366061285,12.89
2022-08-02 08:45:00,12855.68788042033,13.055
2022-08-02 09:00:00,13042.389454054342,13.22
2022-08-02 09:15:00,13275.170908809883,13.755
2022-08-02 09:30:00,13474.91778462716,14.29
2022-08-02 09:45:00,13640.633464330214,14.825
2022-08-02 10:00:00,13771.840412864882,15.36
2022-08-02 10:15:00,13785.243376797289,15.4975
2022-08-02 10:30:00,13764.850893880855,15.635
2022-08-02 10:45:00,13711.876040961663,15.7725
2022-08-02 11:00:00,13628.116814327906,15.91
2022-08-02 11:15:00,13613.96703145807,16.515
2022-08-02 11:30:00,13574.342389034124,17.119999999999994
2022-08-02 11:45:00,13512.727400421836,17.724999999999994
2022-08-02 12:00:00,13433.107681458383,18.33
2022-08-02 12:15:00,13216.780314467782,18.3475
2022-08-02 12:30:00,12991.723340308146,18.365
2022-08-02 12:45:00,12763.069022572909,18.3825
2022-08-02 13:00:00,12536.172982557839,18.4
2022-08-02 13:15:00,12323.85090314769,18.4525
2022-08-02 13:30:00,12124.270655156814,18.505
2022-08-02 13:45:00,11942.844094621874,18.5575
2022-08-02 14:00:00,11784.776613966882,18.61
2022-08-02 14:15:00,11717.269636175162,18.96
2022-08-02 14:30:00,11682.438548729391,19.31
2022-08-02 14:45:00,11684.17808904763,19.66
2022-08-02 15:00:00,11725.731242225547,20.01
2022-08-02 15:15:00,11669.288176516238,19.69
2022-08-02 15:30:00,11656.854548642692,19.37
2022-08-02 15:45:00,11689.221677798654,19.05
2022-08-02 16:00:00,11766.251324908348,18.73
2022-08-02 16:15:00,11874.290034010557,18.35
2022-08-02 16:30:00,12023.852067077361,17.97
2022-08-02 16:45:00,12211.95088678426,17.59
2022-08-02 17:00:00,12434.70377066069,17.21
2022-08-02 17:15:00,12711.987312903057,16.9475
2022-08-02 17:30:00,13013.741243174205,16.685000000000002
2022-08-02 17:45:00,13333.8553573092,16.4225
2022-08-02 18:00:00,13665.693805497953,16.16
2022-08-02 18:15:00,14024.19903210667,16.0025
2022-08-02 18:30:00,14380.12482094865,15.845
2022-08-02 18:45:00,14726.104559049003,15.6875
2022-08-02 19:00:00,15054.835043459994,15.53
2022-08-02 19:15:00,15328.379819882339,15.225
2022-08-02 19:30:00,15570.886153974827,14.92
2022-08-02 19:45:00,15776.161197527654,14.615
2022-08-02 20:00:00,15938.663271272326,14.31
2022-08-02 20:15:00,16109.036056673527,14.27
2022-08-02 20:30:00,16227.955924198553,14.23
2022-08-02 20:45:00,16292.475168609793,14.19
2022-08-02 21:00:00,16300.658080592666,14.15
2022-08-02 21:15:00,16243.255015671668,14.07
2022-08-02 21:30:00,16128.802514714034,13.99
2022-08-02 21:45:00,15958.523031614974,13.91
2022-08-02 22:00:00,15734.653765593917,13.83
2022-08-02 22:15:00,15458.822750692234,13.7425
2022-08-02 22:30:00,15136.67486258903,13.655
2022-08-02 22:45:00,14773.074612937035,13.5675
2022-08-02 23:00:00,14373.564329736097,13.48
2022-08-02 23:15:00,13932.22893826896,13.335
2022-08-02 23:30:00,13467.608355285958,13.19
2022-08-02 23:45:00,12986.517315644152,13.045
2022-08-03 00:00:00,12495.923116861413,12.9
2022-08-03 00:15:00,12080.61452870483,13.1275
2022-08-03 00:30:00,11669.643401812238,13.355
2022-08-03 00:45:00,11269.638462358893,13.5825
2022-08-03 01:00:00,10886.874809460867,13.81
2022-08-03 01:15:00,10483.84346315123,13.83
2022-08-03 01:30:00,10109.155559927278,13.85
2022-08-03 01:45:00,9767.471382339909,13.87
2022-08-03 02:00:00,9462.778578192301,13.89
2022-08-03 02:15:00,9192.611103293848,13.8825
2022-08-03 02:30:00,8965.247819926797,13.875
2022-08-03 02:45:00,8782.479971080005,13.8675
2022-08-03 03:00:00,8645.35836480977,13.86
2022-08-03 03:15:00,8545.34281411533,13.81
2022-08-03 03:30:00,8490.942072231874,13.76
2022-08-03 03:45:00,8481.143386202966,13.71
2022-08-03 04:00:00,8514.33153593027,13.66
2022-08-03 04:15:00,8597.210192112922,13.6525
2022-08-03 04:30:00,8718.259000379752,13.645
2022-08-03 04:45:00,8874.398160839028,13.6375
2022-08-03 05:00:00,9062.182911720956,13.63
2022-08-03 05:15:00,9264.308771694718,13.5575
2022-08-03 05:30:00,9490.345875258363,13.485
2022-08-03 05:45:00,9736.122553509394,13.4125
2022-08-03 06:00:00,9997.340537777789,13.34
2022-08-03 06:15:00,10279.011027378783,13.3125
2022-08-03 06:30:00,10567.354379249333,13.285
2022-08-03 06:45:00,10857.998791773225,13.2575
2022-08-03 07:00:00,11146.64034178729,13.23
2022-08-03 07:15:00,11439.50765225964,13.2525
2022-08-03 07:30:00,11722.13326193863,13.275
2022-08-03 07:45:00,11990.663378778396,13.2975
2022-08-03 08:00:00,12241.47227950089,13.32
2022-08-03 08:15:00,12488.392494535978,13.425
2022-08-03 08:30:00,12711.173649001728,13.53
2022-08-03 08:45:00,12907.101642090169,13.635
