datetime,Demanda pronosticada en [kW],Pronostico Clima
2022-08-02 07:00:00,19405.225264475863,12.35
2022-08-02 07:15:00,19592.17388197417,12.4025
2022-08-02 07:30:00,19781.234933704058,12.455
2022-08-02 07:45:00,19975.20977007234,12.5075
2022-08-02 08:00:00,20176.198917697315,12.56
2022-08-02 08:15:00,20433.23104414505,12.725
2022-08-02 08:30:00,20698.34207598528,12.89
2022-08-02 08:45:00,20970.15067983855,13.055
2022-08-02 09:00:00,21245.88743042947,13.22
2022-08-02 09:15:00,21678.902982908185,13.755
2022-08-02 09:30:00,22106.283246513012,14.29
2022-08-02 09:45:00,22521.54873324571,14.825
2022-08-02 10:00:00,22917.39971375833,15.36
2022-08-02 10:15:00,23116.90050887684,15.4975
2022-08-02 10:30:00,23281.2930621605,15.635
2022-08-02 10:45:00,23402.93527136782,15.7725
2022-08-02 11:00:00,23474.89025991723,15.91
2022-08-02 11:15:00,23690.20666123579,16.515
2022-08-02 11:30:00,23845.71197203136,17.119999999999994
2022-08-02 11:45:00,23939.01323462391,17.724999999999994
2022-08-02 12:00:00,23969.90955853095,18.33
2022-08-02 12:15:00,23690.801321268966,18.3475
2022-08-02 12:30:00,23356.336817308536,18.365
2022-08-02 12:45:00,22973.91576145626,18.3825
2022-08-02 13:00:00,22553.495439380582,18.4
2022-08-02 13:15:00,22122.30850298652,18.4525
2022-08-02 13:30:00,21679.9628154506,18.505
2022-08-02 13:45:00,21242.719866803975,18.5575
2022-08-02 14:00:00,20828.166206166785,18.61
2022-08-02 14:15:00,20581.114141424045,18.96
2022-08-02 14:30:00,20393.734700594734,19.31
2022-08-02 14:45:00,20284.250032209242,19.66
2022-08-02 15:00:00,20269.857580712414,20.01
2022-08-02 15:15:00,20081.4802076288,19.69
2022-08-02 15:30:00,20017.08553231381,19.37
2022-08-02 15:45:00,20087.176716049948,19.05
2022-08-02 16:00:00,20298.98852139038,18.73
2022-08-02 16:15:00,20630.62415387877,18.35
2022-08-02 16:30:00,21107.224509391526,17.97
2022-08-02 16:45:00,21724.36200986404,17.59
2022-08-02 17:00:00,22473.4957875824,17.21
2022-08-02 17:15:00,23391.95648881911,16.9475
2022-08-02 17:30:00,24413.522736188817,16.685000000000002
2022-08-02 17:45:00,25518.44392243434,16.4225
2022-08-02 18:00:00,26684.023419034624,16.16
2022-08-02 18:15:00,27929.756079942505,16.0025
2022-08-02 18:30:00,29184.296789828542,15.845
2022-08-02 18:45:00,30419.883597456483,15.6875
2022-08-02 19:00:00,31608.533649285582,15.53
2022-08-02 19:15:00,32660.246100428318,15.225
2022-08-02 19:30:00,33611.51747275123,14.92
2022-08-02 19:45:00,34438.324743667275,14.615
2022-08-02 20:00:00,35119.392139893724,14.31
2022-08-02 20:15:00,35749.18058528807,14.27
2022-08-02 20:30:00,36201.193559426865,14.23
2022-08-02 20:45:00,36465.56990977204,14.19
2022-08-02 21:00:00,36536.928272270794,14.15
2022-08-02 21:15:00,36397.52624033449,14.07
2022-08-02 21:30:00,36068.12025159795,13.99
2022-08-02 21:45:00,35556.924961840305,13.91
2022-08-02 22:00:00,34876.28689776916,13.83
2022-08-02 22:15:00,34039.0973108111,13.7425
2022-08-02 22:30:00,33067.81546653702,13.655
2022-08-02 22:45:00,31984.330387411825,13.5675
2022-08-02 23:00:00,30812.473170244066,13.48
2022-08-02 23:15:00,29552.94381407706,13.335
2022-08-02 23:30:00,28255.674411170723,13.19
2022-08-02 23:45:00,26946.008275123295,13.045
2022-08-03 00:00:00,25648.37159656286,12.9
2022-08-03 00:15:00,24543.4071438334,13.1275
2022-08-03 00:30:00,23494.043643518762,13.355
2022-08-03 00:45:00,22518.396475070735,13.5825
2022-08-03 01:00:00,21631.58340072523,13.81
2022-08-03 01:15:00,20757.595202386437,13.83
2022-08-03 01:30:00,19992.74148460928,13.85
2022-08-03 01:45:00,19342.007990007532,13.87
2022-08-03 02:00:00,18807.015830617234,13.89
2022-08-03 02:15:00,18374.573763097138,13.8825
2022-08-03 02:30:00,18051.89131058113,13.875
2022-08-03 02:45:00,17832.026850250917,13.8675
2022-08-03 03:00:00,17705.96878391153,13.86
2022-08-03 03:15:00,17645.13732958035,13.81
2022-08-03 03:30:00,17655.850754505205,13.76
2022-08-03 03:45:00,17725.88557318457,13.71
2022-08-03 04:00:00,17842.965902284486,13.66
2022-08-03 04:15:00,18013.209932337566,13.6525
2022-08-03 04:30:00,18207.61051338408,13.645
2022-08-03 04:45:00,18416.325926933907,13.6375
2022-08-03 05:00:00,18630.972546905505,13.63
2022-08-03 05:15:00,18817.325975951502,13.5575
2022-08-03 05:30:00,18997.883027662472,13.485
2022-08-03 05:45:00,19169.40007339627,13.4125
2022-08-03 06:00:00,19330.30426972461,13.34
2022-08-03 06:15:00,19499.556670869235,13.3125
2022-08-03 06:30:00,19659.350861522085,13.285
2022-08-03 06:45:00,19811.902347689116,13.2575
2022-08-03 07:00:00,19960.095959711503,13.23
2022-08-03 07:15:00,20128.265257705218,13.2525
2022-08-03 07:30:00,20298.443881795418,13.275
2022-08-03 07:45:00,20473.417528092657,13.2975
2022-08-03 08:00:00,20655.276206981387,13.32
2022-08-03 08:15:00,20879.99747181214,13.425
2022-08-03 08:30:00,21112.67278245578,13.53
2022-08-03 08:45:00,21351.936394583376,13.635
2022-08-03 09:00:00,21595.044927807812,13.74
2022-08-03 09:15:00,21807.279651880315,13.7725
2022-08-03 09:30:00,22013.908660125486,13.805
2022-08-03 09:45:00,22208.506286657677,13.8375
2022-08-03 10:00:00,22383.832618589917,13.87
2022-08-03 10:15:00,22582.81447283422,14.0225
2022-08-03 10:30:00,22746.92257772212,14.175
2022-08-03 10:45:00,22868.576058011808,14.3275
2022-08-03 11:00:00,22940.89332499097,14.48
2022-08-03 11:15:00,22939.11894360579,14.5875
2022-08-03 11:30:00,22877.999718702667,14.695
2022-08-03 11:45:00,22755.161174711757,14.8025
2022-08-03 12:00:00,22570.40333763281,14.91
2022-08-03 12:15:00,22316.436154452702,14.995
2022-08-03 12:30:00,22007.501822785194,15.08
2022-08-03 12:45:00,21650.94027851789,15.165
2022-08-03 13:00:00,21256.62861774428,15.25
2022-08-03 13:15:00,20839.985279604505,15.3425
2022-08-03 13:30:00,20412.218489099578,15.435
