datetime,Demanda pronosticada en [kW],Pronostico Clima
2022-06-16 15:00:00,147545.9952845228,18.55
2022-06-16 15:15:00,147027.51385367298,18.615
2022-06-16 15:30:00,146537.74143785177,18.68
2022-06-16 15:45:00,146077.25961618673,18.745
2022-06-16 16:00:00,145646.1333423746,18.81
2022-06-16 16:15:00,145073.9115660782,18.7375
2022-06-16 16:30:00,144529.5562121849,18.665
2022-06-16 16:45:00,144011.5031585895,18.5925
2022-06-16 17:00:00,143517.65312356426,18.52
2022-06-16 17:15:00,142149.12212543143,17.7225
2022-06-16 17:30:00,140799.10254231727,16.925
2022-06-16 17:45:00,139464.10933247895,16.1275
2022-06-16 18:00:00,138140.3226882831,15.33
2022-06-16 18:15:00,137253.28010243142,14.88
2022-06-16 18:30:00,136369.18112223776,14.43
2022-06-16 18:45:00,135483.80286803536,13.98
2022-06-16 19:00:00,134593.0310507108,13.53
2022-06-16 19:15:00,134002.0670561243,13.33
2022-06-16 19:30:00,133398.35714804463,13.13
2022-06-16 19:45:00,132778.93934881012,12.93
2022-06-16 20:00:00,132141.50917195764,12.73
2022-06-16 20:15:00,131515.4519254181,12.555
2022-06-16 20:30:00,130869.23083787225,12.38
2022-06-16 20:45:00,130203.20189021055,12.205
2022-06-16 21:00:00,129518.77673239556,12.03
2022-06-16 21:15:00,128864.82953208833,11.8925
2022-06-16 21:30:00,128198.62689011275,11.755
2022-06-16 21:45:00,127524.8994098552,11.6175
2022-06-16 22:00:00,126849.43393548169,11.48
2022-06-16 22:15:00,126138.81449944864,11.31
2022-06-16 22:30:00,125440.85691796937,11.14
2022-06-16 22:45:00,124763.92748259938,10.97
2022-06-16 23:00:00,124116.95910317676,10.8
2022-06-16 23:15:00,123589.62744153598,10.695
2022-06-16 23:30:00,123111.05361977642,10.59
2022-06-16 23:45:00,122690.67482410595,10.485
2022-06-17 00:00:00,136812.1609199359,10.38
2022-06-17 00:15:00,136495.03453869486,10.2425
2022-06-17 00:30:00,136261.85435833942,10.105
2022-06-17 00:45:00,136119.60802756788,9.9675
2022-06-17 01:00:00,136074.14331673062,9.83
2022-06-17 01:15:00,136142.35720463982,9.7025
2022-06-17 01:30:00,136314.9560545158,9.575
2022-06-17 01:45:00,136593.43170166117,9.4475
2022-06-17 02:00:00,136977.61658686175,9.32
2022-06-17 02:15:00,137471.82258886265,9.1975
2022-06-17 02:30:00,138066.2902562098,9.075
2022-06-17 02:45:00,138755.77002940798,8.9525
2022-06-17 03:00:00,139533.41342750494,8.83
2022-06-17 03:15:00,140390.88282864657,8.7075
2022-06-17 03:30:00,141318.49481206315,8.585
2022-06-17 03:45:00,142305.3931946229,8.4625
2022-06-17 04:00:00,143339.74709237862,8.34
2022-06-17 04:15:00,144418.24223831808,8.225
2022-06-17 04:30:00,145518.492133181,8.11
2022-06-17 04:45:00,146627.09802518022,7.995
2022-06-17 05:00:00,147730.61659970522,7.88
2022-06-17 05:15:00,148812.7054295555,7.7625
2022-06-17 05:30:00,149863.6230243401,7.645
2022-06-17 05:45:00,150871.16589736534,7.5275
2022-06-17 06:00:00,151823.95003443188,7.41
2022-06-17 06:15:00,152751.76337432145,7.325
2022-06-17 06:30:00,153605.1441809742,7.24
2022-06-17 06:45:00,154376.04863758298,7.155
2022-06-17 07:00:00,155057.74142252142,7.07
2022-06-17 07:15:00,155586.10565485116,6.9375
2022-06-17 07:30:00,156015.86291642906,6.805
2022-06-17 07:45:00,156344.35287006275,6.6725
2022-06-17 08:00:00,156570.2257126623,6.54
2022-06-17 08:15:00,157212.72873990377,6.8275000000000015
