datetime,Demanda pronosticada en [kW],Pronostico Clima
2022-08-02 08:00:00,22807.507840971488,12.56
2022-08-02 08:15:00,24727.00193365662,12.725
2022-08-02 08:30:00,26552.4529939687,12.89
2022-08-02 08:45:00,28239.385997193913,13.055
2022-08-02 09:00:00,29746.525214154037,13.22
2022-08-02 09:15:00,31173.035241093527,13.755
2022-08-02 09:30:00,32352.267031089672,14.29
2022-08-02 09:45:00,33260.36517424009,14.825
2022-08-02 10:00:00,33881.266788590445,15.36
2022-08-02 10:15:00,34061.385308185294,15.4975
2022-08-02 10:30:00,33947.63532637932,15.635
2022-08-02 10:45:00,33549.70373810415,15.7725
2022-08-02 11:00:00,32885.67621818743,15.91
2022-08-02 11:15:00,32153.021552265003,16.515
2022-08-02 11:30:00,31213.039569227527,17.119999999999994
2022-08-02 11:45:00,30104.496913015075,17.724999999999994
2022-08-02 12:00:00,28870.760900555768,18.33
2022-08-02 12:15:00,27342.799228916858,18.3475
2022-08-02 12:30:00,25784.33057857194,18.365
2022-08-02 12:45:00,24243.5125956639,18.3825
2022-08-02 13:00:00,22766.93422944091,18.4
2022-08-02 13:15:00,21410.931881753517,18.4525
2022-08-02 13:30:00,20201.664874985898,18.505
2022-08-02 13:45:00,19172.39744570889,18.5575
2022-08-02 14:00:00,18349.62994827276,18.61
2022-08-02 14:15:00,17861.428679131535,18.96
2022-08-02 14:30:00,17609.565447474288,19.31
2022-08-02 14:45:00,17596.65294258954,19.66
2022-08-02 15:00:00,17817.09008150089,20.01
2022-08-02 15:15:00,18011.732955792926,19.69
2022-08-02 15:30:00,18405.60214125207,19.37
2022-08-02 15:45:00,18971.652894399624,19.05
2022-08-02 16:00:00,19677.569089928616,18.73
2022-08-02 16:15:00,20465.019820499045,18.35
2022-08-02 16:30:00,21317.028846470228,17.97
2022-08-02 16:45:00,22193.4224208451,17.59
2022-08-02 17:00:00,23054.288122967497,17.21
2022-08-02 17:15:00,23904.46495307551,16.9475
2022-08-02 17:30:00,24665.658719494615,16.685000000000002
2022-08-02 17:45:00,25306.849890603553,16.4225
2022-08-02 18:00:00,25802.22801281702,16.16
2022-08-02 18:15:00,26170.464210322894,16.0025
2022-08-02 18:30:00,26359.815313211035,15.845
2022-08-02 18:45:00,26363.862533899428,15.6875
2022-08-02 19:00:00,26183.050887209527,15.53
2022-08-02 19:15:00,25770.40494173015,15.225
2022-08-02 19:30:00,25193.182661071576,14.92
2022-08-02 19:45:00,24470.015560928845,14.615
2022-08-02 20:00:00,23624.052365511354,14.31
2022-08-02 20:15:00,22778.97669674573,14.27
2022-08-02 20:30:00,21866.58637388012,14.23
2022-08-02 20:45:00,20916.816794429848,14.19
2022-08-02 21:00:00,19959.40575143216,14.15
2022-08-02 21:15:00,19008.035190832015,14.07
2022-08-02 21:30:00,18103.16390711622,13.99
2022-08-02 21:45:00,17267.08298961352,13.91
2022-08-02 22:00:00,16517.74806295385,13.83
2022-08-02 22:15:00,15865.414279397917,13.7425
2022-08-02 22:30:00,15320.481962098314,13.655
2022-08-02 22:45:00,14885.101085379601,13.5675
2022-08-02 23:00:00,14556.005056610189,13.48
2022-08-02 23:15:00,14303.782521066132,13.335
2022-08-02 23:30:00,14136.58144553421,13.19
2022-08-02 23:45:00,14037.691325304073,13.045
2022-08-03 00:00:00,13987.505098502503,12.9
2022-08-03 00:15:00,14100.90759057029,13.1275
2022-08-03 00:30:00,14219.312931196067,13.355
2022-08-03 00:45:00,14320.905185371797,13.5825
2022-08-03 01:00:00,14385.404944005497,13.81
2022-08-03 01:15:00,14319.199535499503,13.83
2022-08-03 01:30:00,14184.136572102112,13.85
2022-08-03 01:45:00,13970.496676094843,13.87
2022-08-03 02:00:00,13673.566921165175,13.89
2022-08-03 02:15:00,13283.988159198472,13.8825
2022-08-03 02:30:00,12818.11896988536,13.875
2022-08-03 02:45:00,12287.776561377115,13.8675
2022-08-03 03:00:00,11709.985611804865,13.86
2022-08-03 03:15:00,11090.8797551905,13.81
2022-08-03 03:30:00,10471.580854219845,13.76
2022-08-03 03:45:00,9880.59622759695,13.71
2022-08-03 04:00:00,9348.260719196167,13.66
2022-08-03 04:15:00,8921.064207603804,13.6525
2022-08-03 04:30:00,8613.73425112758,13.645
2022-08-03 04:45:00,8454.581838562712,13.6375
2022-08-03 05:00:00,8468.701001623025,13.63
2022-08-03 05:15:00,8653.034319899269,13.5575
2022-08-03 05:30:00,9046.659164926738,13.485
2022-08-03 05:45:00,9658.625072027833,13.4125
2022-08-03 06:00:00,10491.095683189425,13.34
2022-08-03 06:15:00,11555.416007422837,13.3125
2022-08-03 06:30:00,12822.629520027438,13.285
2022-08-03 06:45:00,14272.992641204557,13.2575
2022-08-03 07:00:00,15879.944345922877,13.23
2022-08-03 07:15:00,17629.069599308394,13.2525
2022-08-03 07:30:00,19464.190003858133,13.275
2022-08-03 07:45:00,21343.335495327425,13.2975
2022-08-03 08:00:00,23221.77016224191,13.32
2022-08-03 08:15:00,25083.574730682685,13.425
2022-08-03 08:30:00,26852.690525500253,13.53
2022-08-03 08:45:00,28484.906599192833,13.635
2022-08-03 09:00:00,29939.193271710035,13.74
2022-08-03 09:15:00,31152.609045695022,13.7725
2022-08-03 09:30:00,32121.038670341644,13.805
2022-08-03 09:45:00,32820.78148401571,13.8375
2022-08-03 10:00:00,33235.889433785625,13.87
2022-08-03 10:15:00,33402.59153659778,14.0225
2022-08-03 10:30:00,33278.068273306104,14.175
2022-08-03 10:45:00,32871.98998701333,14.3275
2022-08-03 11:00:00,32202.3827071258,14.48
2022-08-03 11:15:00,31278.615156719596,14.5875
2022-08-03 11:30:00,30149.868698562706,14.695
2022-08-03 11:45:00,28854.741756751046,14.8025
2022-08-03 12:00:00,27436.407853842404,14.91
2022-08-03 12:15:00,25932.96352579969,14.995
2022-08-03 12:30:00,24400.54148198201,15.08
2022-08-03 12:45:00,22887.07079682652,15.165
2022-08-03 13:00:00,21438.915037072384,15.25
2022-08-03 13:15:00,20102.09471421881,15.3425
2022-08-03 13:30:00,18912.672828778766,15.435
2022-08-03 13:45:00,17903.73823927463,15.5275
2022-08-03 14:00:00,17101.64354390715,15.62
2022-08-03 14:15:00,16496.021378682744,15.6325
2022-08-03 14:30:00,16126.891692794794,15.645
2022-08-03 14:45:00,15996.819597588243,15.6575
2022-08-03 15:00:00,16100.191215693607,15.67
2022-08-03 15:15:00,16397.106909683724,15.61
2022-08-03 15:30:00,16893.393062868283,15.55
2022-08-03 15:45:00,17562.082359636,15.49
2022-08-03 16:00:00,18370.957714820484,15.43
2022-08-03 16:15:00,19253.69518882354,15.2875
2022-08-03 16:30:00,20201.55196945849,15.145
2022-08-03 16:45:00,21174.482044976918,15.0025
2022-08-03 17:00:00,22132.69719693045,14.86
2022-08-03 17:15:00,23032.60816301028,14.7025
2022-08-03 17:30:00,23844.56618611908,14.545
2022-08-03 17:45:00,24537.628601325843,14.3875
2022-08-03 18:00:00,25086.0359420432,14.23
2022-08-03 18:15:00,25467.264680051547,14.065
2022-08-03 18:30:00,25670.781763871797,13.9
2022-08-03 18:45:00,25690.1253534492,13.735
2022-08-03 19:00:00,25525.664593269514,13.57
2022-08-03 19:15:00,25227.21433167111,13.5225
2022-08-03 19:30:00,24764.98904153526,13.475
2022-08-03 19:45:00,24157.458345885076,13.4275
2022-08-03 20:00:00,23427.58801877868,13.38
2022-08-03 20:15:00,22662.858534786392,13.5
2022-08-03 20:30:00,21830.8664314375,13.62
2022-08-03 20:45:00,20961.3338022275,13.74
2022-08-03 21:00:00,20083.786910516923,13.86
2022-08-03 21:15:00,19208.12659467179,13.93
2022-08-03 21:30:00,18378.198351622294,14.0
2022-08-03 21:45:00,17616.120299024096,14.07
2022-08-03 22:00:00,16939.696997381077,14.14
2022-08-03 22:15:00,16320.799280692328,14.0975
2022-08-03 22:30:00,15807.990419708365,14.055
2022-08-03 22:45:00,15403.34929282121,14.0125
2022-08-03 23:00:00,15103.565933899043,13.97
2022-08-03 23:15:00,14920.306999616181,13.9825
2022-08-03 23:30:00,14820.628480194548,13.995
2022-08-03 23:45:00,14787.847607860951,14.0075
2022-08-04 00:00:00,14802.401679530025,14.02
