datetime,Demanda pronosticada en [kW],Pronostico Clima
2022-08-02 08:00:00,9587.78705934751,12.56
2022-08-02 08:15:00,9811.900701503657,12.725
2022-08-02 08:30:00,10019.569352725783,12.89
2022-08-02 08:45:00,10208.578072688131,13.055
2022-08-02 09:00:00,10376.91049300795,13.22
2022-08-02 09:15:00,10609.28553459865,13.755
2022-08-02 09:30:00,10817.642553748938,14.29
2022-08-02 09:45:00,11000.743466610515,14.825
2022-08-02 10:00:00,11157.67856888662,15.36
2022-08-02 10:15:00,11195.010819943027,15.4975
2022-08-02 10:30:00,11205.508738029737,15.635
2022-08-02 10:45:00,11189.456919970622,15.7725
2022-08-02 11:00:00,11147.598000066728,15.91
2022-08-02 11:15:00,11190.348769323704,16.515
2022-08-02 11:30:00,11210.198805415295,17.119999999999994
2022-08-02 11:45:00,11209.35385429401,17.724999999999994
2022-08-02 12:00:00,11190.504237057628,18.33
2022-08-02 12:15:00,11019.64771767957,18.3475
2022-08-02 12:30:00,10837.556845826179,18.365
2022-08-02 12:45:00,10648.195076471453,18.3825
2022-08-02 13:00:00,10455.845636046575,18.4
2022-08-02 13:15:00,10273.204554879296,18.4525
2022-08-02 13:30:00,10096.792475289067,18.505
2022-08-02 13:45:00,9931.364099982236,18.5575
2022-08-02 14:00:00,9781.63600248921,18.61
2022-08-02 14:15:00,9721.56203740396,18.96
2022-08-02 14:30:00,9686.052447395961,19.31
2022-08-02 14:45:00,9679.049810756012,19.66
2022-08-02 15:00:00,9704.020232232013,20.01
2022-08-02 15:15:00,9607.670811764461,19.69
2022-08-02 15:30:00,9548.443688962952,19.37
2022-08-02 15:45:00,9527.814534425783,19.05
2022-08-02 16:00:00,9546.45138016802,18.73
2022-08-02 16:15:00,9590.19107997357,18.35
2022-08-02 16:30:00,9671.956956495194,17.97
2022-08-02 16:45:00,9789.810500556969,17.59
2022-08-02 17:00:00,9940.953343084635,17.21
2022-08-02 17:15:00,10149.131119793923,16.9475
2022-08-02 17:30:00,10382.601107522334,16.685000000000002
2022-08-02 17:45:00,10636.31717894074,16.4225
2022-08-02 18:00:00,10904.66183483564,16.16
2022-08-02 18:15:00,11206.003547886212,16.0025
2022-08-02 18:30:00,11509.50293566663,15.845
2022-08-02 18:45:00,11808.584649697219,15.6875
2022-08-02 19:00:00,12096.638860595795,15.53
2022-08-02 19:15:00,12332.856196232995,15.225
2022-08-02 19:30:00,12545.328073886869,14.92
2022-08-02 19:45:00,12728.228061033513,14.615
2022-08-02 20:00:00,12876.268045842931,14.31
2022-08-02 20:15:00,13046.437386145368,14.27
2022-08-02 20:30:00,13173.234131108897,14.23
2022-08-02 20:45:00,13253.638345637308,14.19
2022-08-02 21:00:00,13285.541794481034,14.15
2022-08-02 21:15:00,13258.493350289395,14.07
2022-08-02 21:30:00,13181.60873432219,13.99
2022-08-02 21:45:00,13055.671709327566,13.91
2022-08-02 22:00:00,12882.404554841856,13.83
2022-08-02 22:15:00,12662.675769985317,13.7425
2022-08-02 22:30:00,12401.65680022547,13.655
2022-08-02 22:45:00,12103.506436791875,13.5675
2022-08-02 23:00:00,11773.010156108292,13.48
2022-08-02 23:15:00,11402.114736234083,13.335
2022-08-02 23:30:00,11009.857950776339,13.19
2022-08-02 23:45:00,10602.182587434594,13.045
2022-08-03 00:00:00,10185.159335687258,12.9
2022-08-03 00:15:00,9851.30015617394,13.1275
2022-08-03 00:30:00,9520.087338537314,13.355
2022-08-03 00:45:00,9197.227698973753,13.5825
2022-08-03 01:00:00,8888.084723137408,13.81
2022-08-03 01:15:00,8549.459387057586,13.83
2022-08-03 01:30:00,8233.910103746402,13.85
2022-08-03 01:45:00,7945.283954275503,13.87
2022-08-03 02:00:00,7686.812982349193,13.89
2022-08-03 02:15:00,7454.711735417474,13.8825
2022-08-03 02:30:00,7257.293430020131,13.875
2022-08-03 02:45:00,7095.845254982567,13.8675
2022-08-03 03:00:00,6971.023229267257,13.86
2022-08-03 03:15:00,6873.034785434967,13.81
2022-08-03 03:30:00,6811.224685686096,13.76
2022-08-03 03:45:00,6784.575689400955,13.71
2022-08-03 04:00:00,6791.613149476023,13.66
2022-08-03 04:15:00,6840.305851208026,13.6525
2022-08-03 04:30:00,6918.595104440693,13.645
2022-08-03 04:45:00,7023.987076502825,13.6375
2022-08-03 05:00:00,7153.7647592621515,13.63
2022-08-03 05:15:00,7289.995596685511,13.5575
2022-08-03 05:30:00,7444.722173050813,13.485
2022-08-03 05:45:00,7614.860337436033,13.4125
2022-08-03 06:00:00,7797.286879701764,13.34
2022-08-03 06:15:00,7999.282940317826,13.3125
2022-08-03 06:30:00,8207.324613079603,13.285
2022-08-03 06:45:00,8418.343883408264,13.2575
2022-08-03 07:00:00,8629.333009156922,13.23
2022-08-03 07:15:00,8848.922070008794,13.2525
2022-08-03 07:30:00,9062.703200166712,13.275
2022-08-03 07:45:00,9267.936130390335,13.2975
2022-08-03 08:00:00,9461.99691477912,13.32
2022-08-03 08:15:00,9661.461401585027,13.425
2022-08-03 08:30:00,9844.914466399863,13.53
2022-08-03 08:45:00,10010.18470090071,13.635
2022-08-03 09:00:00,10155.29619252462,13.74
2022-08-03 09:15:00,10261.748288797238,13.7725
2022-08-03 09:30:00,10344.795809490308,13.805
2022-08-03 09:45:00,10403.229467922734,13.8375
2022-08-03 10:00:00,10436.163569951428,13.87
2022-08-03 10:15:00,10470.778799911504,14.0225
2022-08-03 10:30:00,10479.227628725313,14.175
2022-08-03 10:45:00,10461.801601600608,14.3275
2022-08-03 11:00:00,10419.243837911621,14.48
2022-08-03 11:15:00,10342.384388231136,14.5875
2022-08-03 11:30:00,10243.31001196125,14.695
2022-08-03 11:45:00,10124.20634198661,14.8025
2022-08-03 12:00:00,9987.736719019167,14.91
2022-08-03 12:15:00,9831.831274394319,14.995
2022-08-03 12:30:00,9665.223840673512,15.08
2022-08-03 12:45:00,9491.83237526507,15.165
2022-08-03 13:00:00,9315.889672199857,15.25
2022-08-03 13:15:00,9143.599452113205,15.3425
2022-08-03 13:30:00,8977.864271452947,15.435
2022-08-03 13:45:00,8823.379439566874,15.5275
2022-08-03 14:00:00,8684.801501287557,15.62
2022-08-03 14:15:00,8548.206623351743,15.6325
2022-08-03 14:30:00,8436.28804955295,15.645
2022-08-03 14:45:00,8352.9344120937,15.6575
2022-08-03 15:00:00,8301.562555759047,15.67
2022-08-03 15:15:00,8268.320542930163,15.61
2022-08-03 15:30:00,8272.095102260817,15.55
2022-08-03 15:45:00,8314.333595779332,15.49
2022-08-03 16:00:00,8395.684525266566,15.43
2022-08-03 16:15:00,8496.962902295574,15.2875
2022-08-03 16:30:00,8636.104506420643,15.145
2022-08-03 16:45:00,8811.180071184224,15.0025
2022-08-03 17:00:00,9019.410039199594,14.86
2022-08-03 17:15:00,9253.754061628193,14.7025
2022-08-03 17:30:00,9513.327399738599,14.545
2022-08-03 17:45:00,9793.127744421467,14.3875
2022-08-03 18:00:00,10087.587712652205,14.23
2022-08-03 18:15:00,10388.966534455134,14.065
2022-08-03 18:30:00,10692.654135743936,13.9
2022-08-03 18:45:00,10992.13540167266,13.735
2022-08-03 19:00:00,11280.86079053128,13.57
2022-08-03 19:15:00,11579.401011443862,13.5225
2022-08-03 19:30:00,11854.565742734052,13.475
2022-08-03 19:45:00,12100.578654022582,13.4275
2022-08-03 20:00:00,12312.19511099386,13.38
