datetime,Demanda pronosticada en [kW],Pronostico Clima
2022-08-02 08:00:00,16907.517359261867,12.56
2022-08-02 08:15:00,17067.245854428438,12.725
2022-08-02 08:30:00,17238.265908391793,12.89
2022-08-02 08:45:00,17420.343922165986,13.055
2022-08-02 09:00:00,17612.04100429776,13.22
2022-08-02 09:15:00,17935.341028472878,13.755
2022-08-02 09:30:00,18261.80127427031,14.29
2022-08-02 09:45:00,18586.607288194085,14.825
2022-08-02 10:00:00,18904.11850137976,15.36
2022-08-02 10:15:00,19074.244621329723,15.4975
2022-08-02 10:30:00,19224.357470042756,15.635
2022-08-02 10:45:00,19347.977638854525,15.7725
2022-08-02 11:00:00,19438.99780589596,15.91
2022-08-02 11:15:00,19649.438446834156,16.515
2022-08-02 11:30:00,19817.527834991455,17.119999999999994
2022-08-02 11:45:00,19940.274715316733,17.724999999999994
2022-08-02 12:00:00,20016.303831558776,18.33
2022-08-02 12:15:00,19848.288001163317,18.3475
2022-08-02 12:30:00,19636.443026179677,18.365
2022-08-02 12:45:00,19385.226155354467,18.3825
2022-08-02 13:00:00,19101.12306184819,18.4
2022-08-02 13:15:00,18804.335185294065,18.4525
2022-08-02 13:30:00,18493.26347550079,18.505
2022-08-02 13:45:00,18179.597783490477,18.5575
2022-08-02 14:00:00,17876.210949524073,18.61
2022-08-02 14:15:00,17696.882899344364,18.96
2022-08-02 14:30:00,17555.524464316826,19.31
2022-08-02 14:45:00,17466.05905358354,19.66
2022-08-02 15:00:00,17441.81481609113,20.01
2022-08-02 15:15:00,17269.624093068458,19.69
2022-08-02 15:30:00,17185.61378848064,19.37
2022-08-02 15:45:00,17198.486052988283,19.05
2022-08-02 16:00:00,17314.56993378476,18.73
2022-08-02 16:15:00,17517.32212597363,18.35
2022-08-02 16:30:00,17827.637955700317,17.97
2022-08-02 16:45:00,18243.15361981661,17.59
2022-08-02 17:00:00,18758.38033850236,17.21
2022-08-02 17:15:00,19404.27082561478,16.9475
2022-08-02 17:30:00,20129.82219942543,16.685000000000002
2022-08-02 17:45:00,20920.880826517456,16.4225
2022-08-02 18:00:00,21760.965518205798,16.16
2022-08-02 18:15:00,22666.99572990772,16.0025
2022-08-02 18:30:00,23583.867107262133,15.845
2022-08-02 18:45:00,24490.916588291395,15.6875
2022-08-02 19:00:00,25367.19452645537,15.53
2022-08-02 19:15:00,26142.476866377845,15.225
2022-08-02 19:30:00,26846.615486422434,14.92
2022-08-02 19:45:00,27461.34572672884,14.615
2022-08-02 20:00:00,27970.403679556854,14.31
2022-08-02 20:15:00,28449.060207196464,14.27
2022-08-02 20:30:00,28797.310132532366,14.23
2022-08-02 20:45:00,29007.392232935355,14.19
