datetime,Demanda pronosticada en [kW],Pronostico Clima
2022-08-02 08:00:00,4523.850288353184,12.56
2022-08-02 08:15:00,4531.90331108215,12.725
2022-08-02 08:30:00,4541.884922368251,12.89
2022-08-02 08:45:00,4553.317643208284,13.055
2022-08-02 09:00:00,4565.307708268944,13.22
2022-08-02 09:15:00,4586.197779182483,13.755
2022-08-02 09:30:00,4604.787999749475,14.29
2022-08-02 09:45:00,4619.260253691755,14.825
2022-08-02 10:00:00,4627.66490080924,15.36
2022-08-02 10:15:00,4617.705395210235,15.4975
2022-08-02 10:30:00,4597.845238171379,15.635
2022-08-02 10:45:00,4566.445868311265,15.7725
2022-08-02 11:00:00,4522.215450308049,15.91
2022-08-02 11:15:00,4476.4681644906,16.515
2022-08-02 11:30:00,4416.777746745334,17.119999999999994
2022-08-02 11:45:00,4343.498713903982,17.724999999999994
2022-08-02 12:00:00,4257.6730742481,18.33
2022-08-02 12:15:00,4145.791430962311,18.3475
2022-08-02 12:30:00,4025.5909552716653,18.365
2022-08-02 12:45:00,3900.2244571373517,18.3825
2022-08-02 13:00:00,3773.464693427282,18.4
2022-08-02 13:15:00,3650.522847527255,18.4525
2022-08-02 13:30:00,3535.2023290760108,18.505
2022-08-02 13:45:00,3432.4866393356747,18.5575
2022-08-02 14:00:00,3347.4707009101685,18.61
2022-08-02 14:15:00,3292.919809498042,18.96
2022-08-02 14:30:00,3265.896909416261,19.31
2022-08-02 14:45:00,3270.776102349732,19.66
2022-08-02 15:00:00,3311.3378442753205,20.01
2022-08-02 15:15:00,3373.1959542054883,19.69
2022-08-02 15:30:00,3475.8911182422235,19.37
2022-08-02 15:45:00,3620.5381641220047,19.05
2022-08-02 16:00:00,3807.1499464825615,18.73
2022-08-02 16:15:00,4033.0237783966513,18.35
2022-08-02 16:30:00,4297.401516996893,17.97
2022-08-02 16:45:00,4596.811685885142,17.59
2022-08-02 17:00:00,4926.686980716572,17.21
2022-08-02 17:15:00,5284.513255427243,16.9475
2022-08-02 17:30:00,5660.7980037975685,16.685000000000002
2022-08-02 17:45:00,6048.39216007888,16.4225
2022-08-02 18:00:00,6439.622904755788,16.16
2022-08-02 18:15:00,6829.229311968181,16.0025
2022-08-02 18:30:00,7206.395627217475,15.845
2022-08-02 18:45:00,7563.164741183141,15.6875
2022-08-02 19:00:00,7891.934824971519,15.53
2022-08-02 19:15:00,8181.84276413744,15.225
2022-08-02 19:30:00,8430.466659068377,14.92
2022-08-02 19:45:00,8632.50400322619,14.615
2022-08-02 20:00:00,8783.756170139704,14.31
2022-08-02 20:15:00,8888.133841824452,14.27
2022-08-02 20:30:00,8937.073954323296,14.23
2022-08-02 20:45:00,8930.243754691299,14.19
2022-08-02 21:00:00,8868.652764778728,14.15
2022-08-02 21:15:00,8753.572002088125,14.07
2022-08-02 21:30:00,8589.57279970572,13.99
2022-08-02 21:45:00,8381.291107318442,13.91
2022-08-02 22:00:00,8134.318397142813,13.83
2022-08-02 22:15:00,7854.830947864945,13.7425
2022-08-02 22:30:00,7549.978041032795,13.655
2022-08-02 22:45:00,7227.086318150902,13.5675
2022-08-02 23:00:00,6893.636953778394,13.48
2022-08-02 23:15:00,6555.553546792109,13.335
2022-08-02 23:30:00,6221.476224307828,13.19
2022-08-02 23:45:00,5898.082173007026,13.045
2022-08-03 00:00:00,5591.40541545815,12.9
2022-08-03 00:15:00,5316.371139608855,13.1275
2022-08-03 00:30:00,5067.627938939395,13.355
2022-08-03 00:45:00,4848.5122820278975,13.5825
2022-08-03 01:00:00,4661.316402662036,13.81
2022-08-03 01:15:00,4501.881373347081,13.83
2022-08-03 01:30:00,4375.802314263596,13.85
2022-08-03 01:45:00,4282.302704083124,13.87
2022-08-03 02:00:00,4219.715604852843,13.89
2022-08-03 02:15:00,4184.882338555295,13.8825
2022-08-03 02:30:00,4175.432160299935,13.875
2022-08-03 02:45:00,4187.788175577321,13.8675
2022-08-03 03:00:00,4218.042358404026,13.86
2022-08-03 03:15:00,4261.013924057244,13.81
2022-08-03 03:30:00,4313.724081129585,13.76
2022-08-03 03:45:00,4372.232294623918,13.71
2022-08-03 04:00:00,4432.877367112696,13.66
2022-08-03 04:15:00,4493.499092286353,13.6525
2022-08-03 04:30:00,4550.216864303063,13.645
2022-08-03 04:45:00,4600.811578137764,13.6375
2022-08-03 05:00:00,4643.659959170845,13.63
2022-08-03 05:15:00,4676.05541208683,13.5575
2022-08-03 05:30:00,4699.2607908793425,13.485
2022-08-03 05:45:00,4713.395626576893,13.4125
2022-08-03 06:00:00,4719.059869500285,13.34
2022-08-03 06:15:00,4718.418328924072,13.3125
2022-08-03 06:30:00,4711.5903056881625,13.285
2022-08-03 06:45:00,4700.049345783901,13.2575
2022-08-03 07:00:00,4685.338732004583,13.23
2022-08-03 07:15:00,4670.258170148973,13.2525
2022-08-03 07:30:00,4654.856983310692,13.275
2022-08-03 07:45:00,4640.23910628258,13.2975
2022-08-03 08:00:00,4627.184210729953,13.32
2022-08-03 08:15:00,4618.233910543449,13.425
2022-08-03 08:30:00,4611.22035621875,13.53
2022-08-03 08:45:00,4605.690063344353,13.635
2022-08-03 09:00:00,4600.772755725511,13.74
2022-08-03 09:15:00,4593.335097116381,13.7725
2022-08-03 09:30:00,4583.698454867983,13.805
2022-08-03 09:45:00,4570.066635594221,13.8375
2022-08-03 10:00:00,4550.511436168646,13.87
2022-08-03 10:15:00,4526.206312440936,14.0225
2022-08-03 10:30:00,4492.186544190822,14.175
2022-08-03 10:45:00,4446.833802459721,14.3275
2022-08-03 11:00:00,4388.876177046819,14.48
2022-08-03 11:15:00,4316.329431203298,14.5875
2022-08-03 11:30:00,4230.104604123399,14.695
2022-08-03 11:45:00,4130.575429906088,14.8025
2022-08-03 12:00:00,4018.8029288328717,14.91
2022-08-03 12:15:00,3895.9779476037334,14.995
2022-08-03 12:30:00,3765.1749763699077,15.08
2022-08-03 12:45:00,3629.565069646643,15.165
2022-08-03 13:00:00,3492.938856273081,15.25
2022-08-03 13:15:00,3359.810443752626,15.3425
2022-08-03 13:30:00,3234.714551733227,15.435
2022-08-03 13:45:00,3122.650823235891,15.5275
2022-08-03 14:00:00,3028.729493231096,15.62
2022-08-03 14:15:00,2955.918519147719,15.6325
2022-08-03 14:30:00,2911.105602003052,15.645
2022-08-03 14:45:00,2898.6768108144224,15.6575
2022-08-03 15:00:00,2922.4231735098892,15.67
2022-08-03 15:15:00,2983.4940105386663,15.61
2022-08-03 15:30:00,3085.9112180715547,15.55
2022-08-03 15:45:00,3230.7953300760623,15.49
2022-08-03 16:00:00,3418.163124955666,15.43
2022-08-03 16:15:00,3644.7277108051326,15.2875
2022-08-03 16:30:00,3910.317516394159,15.145
2022-08-03 16:45:00,4211.459527486154,15.0025
2022-08-03 17:00:00,4543.583141262858,14.86
2022-08-03 17:15:00,4900.725331135834,14.7025
2022-08-03 17:30:00,5276.830883592518,14.545
2022-08-03 17:45:00,5664.74273276857,14.3875
2022-08-03 18:00:00,6056.778765269632,14.23
2022-08-03 18:15:00,6444.7435799385885,14.065
2022-08-03 18:30:00,6820.73406914538,13.9
2022-08-03 18:45:00,7176.780999368178,13.735
2022-08-03 19:00:00,7505.269844926193,13.57
2022-08-03 19:15:00,7802.214279650502,13.5225
2022-08-03 19:30:00,8058.289331390863,13.475
2022-08-03 19:45:00,8268.179132425545,13.4275
2022-08-03 20:00:00,8427.671776159537,13.38
2022-08-03 20:15:00,8538.133817573706,13.5
2022-08-03 20:30:00,8593.520402811995,13.62
2022-08-03 20:45:00,8593.486334190236,13.74
2022-08-03 21:00:00,8539.029073660873,13.86
2022-08-03 21:15:00,8431.147096374887,13.93
2022-08-03 21:30:00,8274.661303668981,14.0
2022-08-03 21:45:00,8074.196665654469,14.07
2022-08-03 22:00:00,7835.333925761663,14.14
2022-08-03 22:15:00,7561.507350102955,14.0975
2022-08-03 22:30:00,7262.587116378751,14.055
2022-08-03 22:45:00,6945.889302869344,14.0125
2022-08-03 23:00:00,6618.884347567594,13.97
2022-08-03 23:15:00,6290.410220523604,13.9825
2022-08-03 23:30:00,5966.170265563651,13.995
2022-08-03 23:45:00,5652.829736562212,14.0075
2022-08-04 00:00:00,5356.410133332209,14.02
