future_temp,datetime
12.35,2022-08-02 07:00:00
12.4025,2022-08-02 07:15:00
12.455,2022-08-02 07:30:00
12.5075,2022-08-02 07:45:00
12.56,2022-08-02 08:00:00
12.725000000000001,2022-08-02 08:15:00
12.89,2022-08-02 08:30:00
13.055,2022-08-02 08:45:00
13.22,2022-08-02 09:00:00
13.755,2022-08-02 09:15:00
14.29,2022-08-02 09:30:00
14.825,2022-08-02 09:45:00
15.36,2022-08-02 10:00:00
15.497499999999999,2022-08-02 10:15:00
15.635,2022-08-02 10:30:00
15.7725,2022-08-02 10:45:00
15.91,2022-08-02 11:00:00
16.515,2022-08-02 11:15:00
17.119999999999997,2022-08-02 11:30:00
17.724999999999998,2022-08-02 11:45:00
18.33,2022-08-02 12:00:00
18.347499999999997,2022-08-02 12:15:00
18.365,2022-08-02 12:30:00
18.3825,2022-08-02 12:45:00
18.4,2022-08-02 13:00:00
18.4525,2022-08-02 13:15:00
18.505,2022-08-02 13:30:00
18.557499999999997,2022-08-02 13:45:00
18.61,2022-08-02 14:00:00
18.96,2022-08-02 14:15:00
19.310000000000002,2022-08-02 14:30:00
19.66,2022-08-02 14:45:00
20.01,2022-08-02 15:00:00
19.69,2022-08-02 15:15:00
19.37,2022-08-02 15:30:00
19.05,2022-08-02 15:45:00
18.73,2022-08-02 16:00:00
18.35,2022-08-02 16:15:00
17.97,2022-08-02 16:30:00
17.59,2022-08-02 16:45:00
17.21,2022-08-02 17:00:00
16.9475,2022-08-02 17:15:00
16.685000000000002,2022-08-02 17:30:00
16.4225,2022-08-02 17:45:00
16.16,2022-08-02 18:00:00
16.0025,2022-08-02 18:15:00
15.844999999999999,2022-08-02 18:30:00
15.6875,2022-08-02 18:45:00
15.53,2022-08-02 19:00:00
15.225,2022-08-02 19:15:00
14.92,2022-08-02 19:30:00
14.615,2022-08-02 19:45:00
14.31,2022-08-02 20:00:00
14.27,2022-08-02 20:15:00
14.23,2022-08-02 20:30:00
14.190000000000001,2022-08-02 20:45:00
14.15,2022-08-02 21:00:00
14.07,2022-08-02 21:15:00
13.99,2022-08-02 21:30:00
13.91,2022-08-02 21:45:00
13.83,2022-08-02 22:00:00
13.7425,2022-08-02 22:15:00
13.655000000000001,2022-08-02 22:30:00
13.5675,2022-08-02 22:45:00
13.48,2022-08-02 23:00:00
13.335,2022-08-02 23:15:00
13.190000000000001,2022-08-02 23:30:00
13.045,2022-08-02 23:45:00
12.9,2022-08-03 00:00:00
