future_temp,datetime
18.55,2022-06-16 15:00:00
18.615000000000002,2022-06-16 15:15:00
18.68,2022-06-16 15:30:00
18.744999999999997,2022-06-16 15:45:00
18.81,2022-06-16 16:00:00
18.737499999999997,2022-06-16 16:15:00
18.665,2022-06-16 16:30:00
18.5925,2022-06-16 16:45:00
18.52,2022-06-16 17:00:00
17.7225,2022-06-16 17:15:00
16.925,2022-06-16 17:30:00
16.1275,2022-06-16 17:45:00
15.33,2022-06-16 18:00:00
14.879999999999999,2022-06-16 18:15:00
14.43,2022-06-16 18:30:00
13.98,2022-06-16 18:45:00
13.53,2022-06-16 19:00:00
13.33,2022-06-16 19:15:00
13.129999999999999,2022-06-16 19:30:00
12.93,2022-06-16 19:45:00
12.73,2022-06-16 20:00:00
12.555,2022-06-16 20:15:00
12.379999999999999,2022-06-16 20:30:00
12.205,2022-06-16 20:45:00
12.03,2022-06-16 21:00:00
11.8925,2022-06-16 21:15:00
11.754999999999999,2022-06-16 21:30:00
11.6175,2022-06-16 21:45:00
11.48,2022-06-16 22:00:00
11.31,2022-06-16 22:15:00
11.14,2022-06-16 22:30:00
10.97,2022-06-16 22:45:00
10.8,2022-06-16 23:00:00
10.695,2022-06-16 23:15:00
10.59,2022-06-16 23:30:00
10.485000000000001,2022-06-16 23:45:00
10.38,2022-06-17 00:00:00
10.2425,2022-06-17 00:15:00
10.105,2022-06-17 00:30:00
9.967500000000001,2022-06-17 00:45:00
9.83,2022-06-17 01:00:00
9.7025,2022-06-17 01:15:00
9.575,2022-06-17 01:30:00
9.4475,2022-06-17 01:45:00
9.32,2022-06-17 02:00:00
9.1975,2022-06-17 02:15:00
9.075,2022-06-17 02:30:00
8.9525,2022-06-17 02:45:00
8.83,2022-06-17 03:00:00
8.7075,2022-06-17 03:15:00
8.585,2022-06-17 03:30:00
8.4625,2022-06-17 03:45:00
8.34,2022-06-17 04:00:00
8.225,2022-06-17 04:15:00
8.11,2022-06-17 04:30:00
7.995,2022-06-17 04:45:00
7.88,2022-06-17 05:00:00
7.7625,2022-06-17 05:15:00
7.645,2022-06-17 05:30:00
7.5275,2022-06-17 05:45:00
7.41,2022-06-17 06:00:00
7.325,2022-06-17 06:15:00
7.24,2022-06-17 06:30:00
7.155,2022-06-17 06:45:00
7.07,2022-06-17 07:00:00
6.9375,2022-06-17 07:15:00
6.805,2022-06-17 07:30:00
6.6725,2022-06-17 07:45:00
6.54,2022-06-17 08:00:00
6.827500000000001,2022-06-17 08:15:00
7.115,2022-06-17 08:30:00
7.4025,2022-06-17 08:45:00
7.69,2022-06-17 09:00:00
8.565,2022-06-17 09:15:00
9.44,2022-06-17 09:30:00
10.315,2022-06-17 09:45:00
11.19,2022-06-17 10:00:00
12.04,2022-06-17 10:15:00
12.89,2022-06-17 10:30:00
13.74,2022-06-17 10:45:00
14.59,2022-06-17 11:00:00
15.0375,2022-06-17 11:15:00
15.485,2022-06-17 11:30:00
15.9325,2022-06-17 11:45:00
16.38,2022-06-17 12:00:00
16.6625,2022-06-17 12:15:00
16.945,2022-06-17 12:30:00
17.2275,2022-06-17 12:45:00
17.51,2022-06-17 13:00:00
17.615000000000002,2022-06-17 13:15:00
17.72,2022-06-17 13:30:00
17.825,2022-06-17 13:45:00
17.93,2022-06-17 14:00:00
17.9775,2022-06-17 14:15:00
18.025,2022-06-17 14:30:00
18.0725,2022-06-17 14:45:00
18.12,2022-06-17 15:00:00
18.0475,2022-06-17 15:15:00
17.975,2022-06-17 15:30:00
17.9025,2022-06-17 15:45:00
17.83,2022-06-17 16:00:00
17.6225,2022-06-17 16:15:00
17.415,2022-06-17 16:30:00
17.2075,2022-06-17 16:45:00
17.0,2022-06-17 17:00:00
16.075,2022-06-17 17:15:00
15.15,2022-06-17 17:30:00
14.225000000000001,2022-06-17 17:45:00
13.3,2022-06-17 18:00:00
12.8675,2022-06-17 18:15:00
12.435,2022-06-17 18:30:00
12.002500000000001,2022-06-17 18:45:00
11.57,2022-06-17 19:00:00
11.3575,2022-06-17 19:15:00
11.145,2022-06-17 19:30:00
10.932500000000001,2022-06-17 19:45:00
10.72,2022-06-17 20:00:00
10.535,2022-06-17 20:15:00
10.350000000000001,2022-06-17 20:30:00
10.165000000000001,2022-06-17 20:45:00
9.98,2022-06-17 21:00:00
9.7725,2022-06-17 21:15:00
9.565000000000001,2022-06-17 21:30:00
9.3575,2022-06-17 21:45:00
9.15,2022-06-17 22:00:00
8.9975,2022-06-17 22:15:00
8.844999999999999,2022-06-17 22:30:00
8.692499999999999,2022-06-17 22:45:00
8.54,2022-06-17 23:00:00
8.465,2022-06-17 23:15:00
8.39,2022-06-17 23:30:00
8.315,2022-06-17 23:45:00
8.24,2022-06-18 00:00:00
8.135,2022-06-18 00:15:00
8.030000000000001,2022-06-18 00:30:00
7.925000000000001,2022-06-18 00:45:00
7.82,2022-06-18 01:00:00
7.657500000000001,2022-06-18 01:15:00
7.495,2022-06-18 01:30:00
7.3325,2022-06-18 01:45:00
7.17,2022-06-18 02:00:00
7.0425,2022-06-18 02:15:00
6.915,2022-06-18 02:30:00
6.7875,2022-06-18 02:45:00
6.66,2022-06-18 03:00:00
6.6125,2022-06-18 03:15:00
6.5649999999999995,2022-06-18 03:30:00
6.5175,2022-06-18 03:45:00
6.47,2022-06-18 04:00:00
6.42,2022-06-18 04:15:00
6.369999999999999,2022-06-18 04:30:00
6.319999999999999,2022-06-18 04:45:00
6.27,2022-06-18 05:00:00
6.1899999999999995,2022-06-18 05:15:00
6.109999999999999,2022-06-18 05:30:00
6.03,2022-06-18 05:45:00
5.95,2022-06-18 06:00:00
5.9350000000000005,2022-06-18 06:15:00
5.92,2022-06-18 06:30:00
5.904999999999999,2022-06-18 06:45:00
5.89,2022-06-18 07:00:00
5.85,2022-06-18 07:15:00
5.8100000000000005,2022-06-18 07:30:00
5.7700000000000005,2022-06-18 07:45:00
5.73,2022-06-18 08:00:00
6.065,2022-06-18 08:15:00
6.4,2022-06-18 08:30:00
6.735,2022-06-18 08:45:00
7.07,2022-06-18 09:00:00
7.800000000000001,2022-06-18 09:15:00
8.530000000000001,2022-06-18 09:30:00
9.26,2022-06-18 09:45:00
9.99,2022-06-18 10:00:00
10.655000000000001,2022-06-18 10:15:00
11.32,2022-06-18 10:30:00
11.985,2022-06-18 10:45:00
12.65,2022-06-18 11:00:00
13.127500000000001,2022-06-18 11:15:00
13.605,2022-06-18 11:30:00
14.0825,2022-06-18 11:45:00
14.56,2022-06-18 12:00:00
